ScientificName_accepted	Family	Genus	Anitas_Garden	CAPE_KRI	KRI_LAGOON	KABUI_STRAIT	MELISSAS_GARDEN	SECRET_LAGOON	SARDINE_REEF	WEST_MANSUAR
Scarus flavipectoralis	Scaridae	Scarus	1	1	1	0	1	1	1	1
Zanclus cornutus	Zanclidae	Zanclus	1	1	1	0	1	1	1	1
Naso lituratus	Acanthuridae	Naso	1	1	1	0	1	1	1	1
Zebrasoma scopas	Acanthuridae	Zebrasoma	1	1	1	0	1	1	1	1
Lutjanus decussatus	Lutjanidae	Lutjanus	1	1	0	0	1	1	1	1
Labroides dimidiatus	Labridae	Labroides	1	1	0	0	1	1	1	1
Scarus niger	Scaridae	Scarus	1	0	0	0	1	1	1	1
Myripristis hexagona	Holocentridae	Myripristis	0	0	1	1	0	1	1	1
Ctenochaetus striatus	Acanthuridae	Ctenochaetus	1	1	1	0	0	1	1	1
Acanthurus blochii	Acanthuridae	Acanthurus	0	0	1	0	0	1	1	1
Chaetodon kleinii	Chaetodontidae	Chaetodon	1	1	1	1	1	0	1	1
Amphiprion ocellaris	Pomacentridae	Amphiprion	1	1	1	1	1	0	1	1
Chaetodon ephippium	Chaetodontidae	Chaetodon	0	1	1	1	1	0	1	1
Chaetodon adiergastos	Chaetodontidae	Chaetodon	0	0	1	1	1	0	1	1
Cephalopholis miniata	Serranidae	Cephalopholis	1	1	1	0	1	0	1	1
Paracirrhites forsteri	Cirrhitidae	Paracirrhites	1	1	1	0	1	0	1	1
Monotaxis grandoculis	Lethrinidae	Monotaxis	1	1	1	0	1	0	1	1
Parupeneus cyclostomus	Mullidae	Parupeneus	1	1	1	0	1	0	1	1
Parupeneus multifasciatus	Mullidae	Parupeneus	1	1	1	0	1	0	1	1
Centropyge bicolor	Pomacanthidae	Centropyge	1	1	1	0	1	0	1	1
Centropyge tibicen	Pomacanthidae	Centropyge	1	1	1	0	1	0	1	1
Centropyge vrolikii	Pomacanthidae	Centropyge	1	1	1	0	1	0	1	1
Genicanthus lamarck	Pomacanthidae	Genicanthus	1	1	1	0	1	0	1	1
Pomacanthus navarchus	Pomacanthidae	Pomacanthus	1	1	1	0	1	0	1	1
Pygoplites diacanthus	Pomacanthidae	Pygoplites	1	1	1	0	1	0	1	1
Amblyglyphidodon leucogaster	Pomacentridae	Amblyglyphidodon	1	1	1	0	1	0	1	1
Chromis amboinensis	Pomacentridae	Chromis	1	1	1	0	1	0	1	1
Chromis atripectoralis	Pomacentridae	Chromis	1	1	1	0	1	0	1	1
Chromis lepidolepis	Pomacentridae	Chromis	1	1	1	0	1	0	1	1
Chromis retrofasciata	Pomacentridae	Chromis	1	1	1	0	1	0	1	1
Chromis ternatensis	Pomacentridae	Chromis	1	1	1	0	1	0	1	1
Chromis weberi	Pomacentridae	Chromis	1	1	1	0	1	0	1	1
Chromis xanthura	Pomacentridae	Chromis	1	1	1	0	1	0	1	1
Chrysiptera rollandi	Pomacentridae	Chrysiptera	1	1	1	0	1	0	1	1
Chrysiptera talboti	Pomacentridae	Chrysiptera	1	1	1	0	1	0	1	1
Dascyllus trimaculatus	Pomacentridae	Dascyllus	1	1	1	0	1	0	1	1
Neoglyphidodon nigroris	Pomacentridae	Neoglyphidodon	1	1	1	0	1	0	1	1
Plectroglyphidodon lacrymatus	Pomacentridae	Plectroglyphidodon	1	1	1	0	1	0	1	1
Pomacentrus bankanensis	Pomacentridae	Pomacentrus	1	1	1	0	1	0	1	1
Pomacentrus brachialis	Pomacentridae	Pomacentrus	1	1	1	0	1	0	1	1
Pomacentrus moluccensis	Pomacentridae	Pomacentrus	1	1	1	0	1	0	1	1
Pomacentrus reidi	Pomacentridae	Pomacentrus	1	1	1	0	1	0	1	1
Bodianus diana	Labridae	Bodianus	1	1	1	0	1	0	1	1
Cheilinus trilobatus	Labridae	Cheilinus	1	1	1	0	1	0	1	1
Coris gaimard	Labridae	Coris	1	1	1	0	1	0	1	1
Gomphosus varius	Labridae	Gomphosus	1	1	1	0	1	0	1	1
Halichoeres chrysus	Labridae	Halichoeres	1	1	1	0	1	0	1	1
Halichoeres hortulanus	Labridae	Halichoeres	1	1	1	0	1	0	1	1
Halichoeres margaritaceus	Labridae	Halichoeres	1	1	1	0	1	0	1	1
Halichoeres melanurus	Labridae	Halichoeres	1	1	1	0	1	0	1	1
Halichoeres prosopeion	Labridae	Halichoeres	1	1	1	0	1	0	1	1
Halichoeres solorensis	Labridae	Halichoeres	1	1	1	0	1	0	1	1
Labrichthys unilineatus	Labridae	Labrichthys	1	1	1	0	1	0	1	1
Pseudocheilinus hexataenia	Labridae	Pseudocheilinus	1	1	1	0	1	0	1	1
Thalassoma hardwicke	Labridae	Thalassoma	1	1	1	0	1	0	1	1
Thalassoma lunare	Labridae	Thalassoma	1	1	1	0	1	0	1	1
Parapercis clathrata	Pinguipedidae	Parapercis	1	1	1	0	1	0	1	1
Valenciennea strigata	Gobiidae	Valenciennea	1	1	1	0	1	0	1	1
Siganus puellus	Siganidae	Siganus	1	1	1	0	1	0	1	1
Acanthurus pyroferus	Acanthuridae	Acanthurus	1	1	1	0	1	0	1	1
Balistapus undulatus	Balistidae	Balistapus	1	1	1	0	1	0	1	1
Balistoides conspicillum	Balistidae	Balistoides	1	1	1	0	1	0	1	1
Pterocaesio marri	Caesionidae	Pterocaesio	0	1	1	0	1	0	1	1
Pterocaesio pisang	Caesionidae	Pterocaesio	0	1	1	0	1	0	1	1
Pomacentrus nagasakiensis	Pomacentridae	Pomacentrus	0	1	1	0	1	0	1	1
Scarus forsteni	Scaridae	Scarus	1	0	1	0	1	0	1	1
Scarus frenatus	Scaridae	Scarus	1	0	1	0	1	0	1	1
Ctenochaetus binotatus	Acanthuridae	Ctenochaetus	1	0	1	0	1	0	1	1
Macolor macularis	Lutjanidae	Macolor	1	1	0	0	1	0	1	1
Caesio teres	Caesionidae	Caesio	1	1	0	0	1	0	1	1
Heniochus chrysostomus	Chaetodontidae	Heniochus	1	1	0	0	1	0	1	1
Apolemichthys trimaculatus	Pomacanthidae	Apolemichthys	1	1	0	0	1	0	1	1
Amblyglyphidodon aureus	Pomacentridae	Amblyglyphidodon	1	1	0	0	1	0	1	1
Chromis analis	Pomacentridae	Chromis	1	1	0	0	1	0	1	1
Chromis scotochiloptera	Pomacentridae	Chromis	1	1	0	0	1	0	1	1
Pomacentrus auriventris	Pomacentridae	Pomacentrus	1	1	0	0	1	0	1	1
Acanthurus nigricauda	Acanthuridae	Acanthurus	1	1	0	0	1	0	1	1
Sargocentron caudimaculatum	Holocentridae	Sargocentron	0	1	0	0	1	0	1	1
Pseudanthias squamipinnis	Serranidae	Pseudanthias	0	1	0	0	1	0	1	1
Pterocaesio tessellata	Caesionidae	Pterocaesio	0	1	0	0	1	0	1	1
Plectorhinchus polytaenia	Haemulidae	Plectorhinchus	0	1	0	0	1	0	1	1
Coradion chrysozonus	Chaetodontidae	Coradion	0	1	0	0	1	0	1	1
Anampses meleagrides	Labridae	Anampses	0	1	0	0	1	0	1	1
Ecsenius bicolor	Blenniidae	Ecsenius	0	1	0	0	1	0	1	1
Naso hexacanthus	Acanthuridae	Naso	1	0	0	0	1	0	1	1
Naso vlamingii	Acanthuridae	Naso	1	0	0	0	1	0	1	1
Synodus dermatogenys	Synodontidae	Synodus	0	0	0	0	1	0	1	1
Lutjanus gibbus	Lutjanidae	Lutjanus	1	1	1	0	0	0	1	1
Chromis margaritifer	Pomacentridae	Chromis	1	1	1	0	0	0	1	1
Bodianus mesothorax	Labridae	Bodianus	1	1	1	0	0	0	1	1
Stethojulis trilineata	Labridae	Stethojulis	1	1	1	0	0	0	1	1
Siganus vulpinus	Siganidae	Siganus	1	1	1	0	0	0	1	1
Acanthurus thompsoni	Acanthuridae	Acanthurus	1	1	1	0	0	0	1	1
Odonus niger	Balistidae	Odonus	1	1	1	0	0	0	1	1
Sufflamen bursa	Balistidae	Sufflamen	1	1	1	0	0	0	1	1
Sufflamen chrysopterum	Balistidae	Sufflamen	1	1	1	0	0	0	1	1
Myripristis kuntee	Holocentridae	Myripristis	0	1	1	0	0	0	1	1
Pterocaesio tile	Caesionidae	Pterocaesio	0	1	1	0	0	0	1	1
Chaetodon semeion	Chaetodontidae	Chaetodon	0	1	1	0	0	0	1	1
Pomacanthus xanthometopon	Pomacanthidae	Pomacanthus	0	1	1	0	0	0	1	1
Acanthurus olivaceus	Acanthuridae	Acanthurus	1	0	1	0	0	0	1	1
Ostorhinchus nigrofasciatus	Apogonidae	Ostorhinchus	1	1	0	0	0	0	1	1
Chromis delta	Pomacentridae	Chromis	1	1	0	0	0	0	1	1
Plectroglyphidodon dickii	Pomacentridae	Plectroglyphidodon	1	1	0	0	0	0	1	1
Macropharyngodon meleagris	Labridae	Macropharyngodon	1	1	0	0	0	0	1	1
Pseudocheilinus evanidus	Labridae	Pseudocheilinus	1	1	0	0	0	0	1	1
Thalassoma amblycephalum	Labridae	Thalassoma	1	1	0	0	0	0	1	1
Thalassoma jansenii	Labridae	Thalassoma	1	1	0	0	0	0	1	1
Melichthys vidua	Balistidae	Melichthys	1	1	0	0	0	0	1	1
Kyphosus cinerascens	Kyphosidae	Kyphosus	0	1	0	0	0	0	1	1
Chaetodon punctatofasciatus	Chaetodontidae	Chaetodon	1	0	0	0	0	0	1	1
Chromis caudalis	Pomacentridae	Chromis	1	0	0	0	0	0	1	1
Plectorhinchus lineatus	Haemulidae	Plectorhinchus	0	0	0	0	0	0	1	1
Heniochus acuminatus	Chaetodontidae	Heniochus	0	0	0	0	0	0	1	1
Pomacanthus sexstriatus	Pomacanthidae	Pomacanthus	1	1	1	1	1	1	0	1
Amphiprion clarkii	Pomacentridae	Amphiprion	1	1	1	0	1	1	0	1
Chaetodon lunula	Chaetodontidae	Chaetodon	0	1	0	0	1	1	0	1
Lutjanus fulvus	Lutjanidae	Lutjanus	0	0	1	1	0	1	0	1
Chaetodon bennetti	Chaetodontidae	Chaetodon	1	1	0	1	0	1	0	1
Cephalopholis boenak	Serranidae	Cephalopholis	0	0	0	1	0	1	0	1
Chaetodon speculum	Chaetodontidae	Chaetodon	1	1	1	1	1	0	0	1
Chaetodontoplus mesoleucus	Pomacanthidae	Chaetodontoplus	0	0	1	1	1	0	0	1
Epinephelus fasciatus	Serranidae	Epinephelus	0	0	0	1	1	0	0	1
Pseudanthias huchtii	Serranidae	Pseudanthias	1	1	1	0	1	0	0	1
Pictichromis porphyrea	Pseudochromidae	Pictichromis	1	1	1	0	1	0	0	1
Manonichthys splendens	Pseudochromidae	Manonichthys	1	1	1	0	1	0	0	1
Lutjanus bohar	Lutjanidae	Lutjanus	1	1	1	0	1	0	0	1
Lethrinus erythropterus	Lethrinidae	Lethrinus	1	1	1	0	1	0	0	1
Abudefduf vaigiensis	Pomacentridae	Abudefduf	1	1	1	0	1	0	0	1
Dascyllus reticulatus	Pomacentridae	Dascyllus	1	1	1	0	1	0	0	1
Neoglyphidodon melas	Pomacentridae	Neoglyphidodon	1	1	1	0	1	0	0	1
Pomacentrus coelestis	Pomacentridae	Pomacentrus	1	1	1	0	1	0	0	1
Pomacentrus lepidogenys	Pomacentridae	Pomacentrus	1	1	1	0	1	0	0	1
Scarus rubroviolaceus	Scaridae	Scarus	1	1	1	0	1	0	0	1
Siganus corallinus	Siganidae	Siganus	1	1	1	0	1	0	0	1
Siganus punctatissimus	Siganidae	Siganus	1	1	1	0	1	0	0	1
Cephalopholis urodeta	Serranidae	Cephalopholis	0	1	1	0	1	0	0	1
Labroides bicolor	Labridae	Labroides	0	1	1	0	1	0	0	1
Chromis viridis	Pomacentridae	Chromis	1	0	1	0	1	0	0	1
Cantherhines fronticinctus	Monacanthidae	Cantherhines	1	0	1	0	1	0	0	1
Paracheilinus filamentosus	Labridae	Paracheilinus	0	0	1	0	1	0	0	1
Arothron nigropunctatus	Tetraodontidae	Arothron	0	0	1	0	1	0	0	1
Chromis elerae	Pomacentridae	Chromis	1	1	0	0	1	0	0	1
Hologymnosus doliatus	Labridae	Hologymnosus	1	1	0	0	1	0	0	1
Pseudochromis bitaeniatus	Pseudochromidae	Pseudochromis	0	1	0	0	1	0	0	1
Ecsenius namiyei	Blenniidae	Ecsenius	0	1	0	0	1	0	0	1
Scarus psittacus	Scaridae	Scarus	0	0	0	0	1	0	0	1
Ptereleotris evides	Microdesmidae	Ptereleotris	0	0	0	0	1	0	0	1
Acanthurus fowleri	Acanthuridae	Acanthurus	0	0	0	0	1	0	0	1
Acanthurus xanthopterus	Acanthuridae	Acanthurus	0	1	1	1	0	0	0	1
Centropyge bispinosa	Pomacanthidae	Centropyge	0	0	1	1	0	0	0	1
Cromileptes altivelis	Serranidae	Cromileptes	0	0	0	1	0	0	0	1
Chaetodon auriga	Chaetodontidae	Chaetodon	1	1	1	0	0	0	0	1
Chaetodon citrinellus	Chaetodontidae	Chaetodon	1	1	1	0	0	0	0	1
Pomacentrus nigromarginatus	Pomacentridae	Pomacentrus	1	1	1	0	0	0	0	1
Cephalopholis leopardus	Serranidae	Cephalopholis	0	1	1	0	0	0	0	1
Cheilodipterus macrodon	Apogonidae	Cheilodipterus	0	1	1	0	0	0	0	1
Forcipiger longirostris	Chaetodontidae	Forcipiger	0	1	1	0	0	0	0	1
Centropyge nox	Pomacanthidae	Centropyge	0	1	1	0	0	0	0	1
Chromis alpha	Pomacentridae	Chromis	0	1	1	0	0	0	0	1
Pomacentrus adelus	Pomacentridae	Pomacentrus	0	1	1	0	0	0	0	1
Chaetodon oxycephalus	Chaetodontidae	Chaetodon	1	0	1	0	0	0	0	1
Pomacentrus vaiuli	Pomacentridae	Pomacentrus	1	0	1	0	0	0	0	1
Acanthurus lineatus	Acanthuridae	Acanthurus	1	0	1	0	0	0	0	1
Labracinus cyclophthalmus	Pseudochromidae	Labracinus	0	0	1	0	0	0	0	1
Chrysiptera cyanea	Pomacentridae	Chrysiptera	0	0	1	0	0	0	0	1
Pseudodax moluccanus	Labridae	Pseudodax	0	0	1	0	0	0	0	1
Nemateleotris magnifica	Microdesmidae	Nemateleotris	0	0	1	0	0	0	0	1
Chrysiptera brownriggii	Pomacentridae	Chrysiptera	1	1	0	0	0	0	0	1
Anampses caeruleopunctatus	Labridae	Anampses	1	1	0	0	0	0	0	1
Cephalopholis argus	Serranidae	Cephalopholis	0	1	0	0	0	0	0	1
Pseudanthias pleurotaenia	Serranidae	Pseudanthias	0	1	0	0	0	0	0	1
Chaetodon meyeri	Chaetodontidae	Chaetodon	0	1	0	0	0	0	0	1
Stegastes fasciolatus	Pomacentridae	Stegastes	0	1	0	0	0	0	0	1
Hemigymnus fasciatus	Labridae	Hemigymnus	0	1	0	0	0	0	0	1
Leptojulis cyanopleura	Labridae	Leptojulis	0	1	0	0	0	0	0	1
Scarus spinus	Scaridae	Scarus	0	1	0	0	0	0	0	1
Helcogramma striata	Tripterygiidae	Helcogramma	0	1	0	0	0	0	0	1
Acanthurus triostegus	Acanthuridae	Acanthurus	0	1	0	0	0	0	0	1
Forcipiger flavissimus	Chaetodontidae	Forcipiger	1	0	0	0	0	0	0	1
Abudefduf notatus	Pomacentridae	Abudefduf	1	0	0	0	0	0	0	1
Neopomacentrus azysron	Pomacentridae	Neopomacentrus	1	0	0	0	0	0	0	1
Plectroglyphidodon leucozonus	Pomacentridae	Plectroglyphidodon	1	0	0	0	0	0	0	1
Halichoeres marginatus	Labridae	Halichoeres	1	0	0	0	0	0	0	1
Plagiotremus tapeinosoma	Blenniidae	Plagiotremus	1	0	0	0	0	0	0	1
Carcharhinus melanopterus	Carcharhinidae	Carcharhinus	0	0	0	0	0	0	0	1
Tylosurus crocodilus	Belonidae	Tylosurus	0	0	0	0	0	0	0	1
Gracila albomarginata	Serranidae	Gracila	0	0	0	0	0	0	0	1
Luzonichthys waitei	Serranidae	Luzonichthys	0	0	0	0	0	0	0	1
Plectropomus leopardus	Serranidae	Plectropomus	0	0	0	0	0	0	0	1
Plectropomus oligacanthus	Serranidae	Plectropomus	0	0	0	0	0	0	0	1
Cirrhitus pinnulatus	Cirrhitidae	Cirrhitus	0	0	0	0	0	0	0	1
Ostorhinchus taeniophorus	Apogonidae	Ostorhinchus	0	0	0	0	0	0	0	1
Paracentropyge multifasciata	Pomacanthidae	Paracentropyge	0	0	0	0	0	0	0	1
Crenimugil crenilabis	Mugilidae	Crenimugil	0	0	0	0	0	0	0	1
Abudefduf sordidus	Pomacentridae	Abudefduf	0	0	0	0	0	0	0	1
Chromis xanthochira	Pomacentridae	Chromis	0	0	0	0	0	0	0	1
Anampses twistii	Labridae	Anampses	0	0	0	0	0	0	0	1
Halichoeres argus	Labridae	Halichoeres	0	0	0	0	0	0	0	1
Thalassoma quinquevittatum	Labridae	Thalassoma	0	0	0	0	0	0	0	1
Cirripectes stigmaticus	Blenniidae	Cirripectes	0	0	0	0	0	0	0	1
Crossosalarias macrospilus	Blenniidae	Crossosalarias	0	0	0	0	0	0	0	1
Amblyeleotris wheeleri	Gobiidae	Amblyeleotris	0	0	0	0	0	0	0	1
Canthigaster amboinensis	Tetraodontidae	Canthigaster	0	0	0	0	0	0	0	1
Caesio cuning	Caesionidae	Caesio	0	1	1	1	1	1	1	0
Zebrasoma velifer	Acanthuridae	Zebrasoma	1	1	1	0	1	1	1	0
Caesio caerulaurea	Caesionidae	Caesio	1	1	1	1	1	0	1	0
Carangoides bajad	Carangidae	Carangoides	1	0	0	1	1	0	1	0
Caesio lunaris	Caesionidae	Caesio	1	1	1	0	1	0	1	0
Cirrhilabrus cyanopleura	Labridae	Cirrhilabrus	1	1	1	0	1	0	1	0
Coris batuensis	Labridae	Coris	1	1	1	0	1	0	1	0
Scarus oviceps	Scaridae	Scarus	0	1	1	0	1	0	1	0
Lutjanus semicinctus	Lutjanidae	Lutjanus	1	0	1	0	1	0	1	0
Siganus argenteus	Siganidae	Siganus	1	0	1	0	1	0	1	0
Ostracion cubicus	Ostraciidae	Ostracion	1	0	1	0	1	0	1	0
Lutjanus quinquelineatus	Lutjanidae	Lutjanus	0	0	1	0	1	0	1	0
Acanthochromis polyacanthus	Pomacentridae	Acanthochromis	0	0	1	0	1	0	1	0
Chrysiptera bleekeri	Pomacentridae	Chrysiptera	0	0	1	0	1	0	1	0
Parapercis tetracantha	Pinguipedidae	Parapercis	0	0	1	0	1	0	1	0
Naso lopezi	Acanthuridae	Naso	0	0	1	0	1	0	1	0
Balistoides viridescens	Balistidae	Balistoides	0	0	1	0	1	0	1	0
Pomacanthus imperator	Pomacanthidae	Pomacanthus	1	1	0	0	1	0	1	0
Oxycheilinus digramma	Labridae	Oxycheilinus	1	1	0	0	1	0	1	0
Chlorurus microrhinos	Scaridae	Chlorurus	1	1	0	0	1	0	1	0
Acanthurus mata	Acanthuridae	Acanthurus	1	1	0	0	1	0	1	0
Acanthurus nigricans	Acanthuridae	Acanthurus	1	1	0	0	1	0	1	0
Canthigaster valentini	Tetraodontidae	Canthigaster	1	1	0	0	1	0	1	0
Ostorhinchus chrysotaenia	Apogonidae	Ostorhinchus	0	1	0	0	1	0	1	0
Neopomacentrus cyanomos	Pomacentridae	Neopomacentrus	0	1	0	0	1	0	1	0
Chlorurus japanensis	Scaridae	Chlorurus	1	0	0	0	1	0	1	0
Neotrygon kuhlii	Dasyatidae	Neotrygon	0	0	0	0	1	0	1	0
Macolor niger	Lutjanidae	Macolor	0	0	0	0	1	0	1	0
Pseudocoris yamashiroi	Labridae	Pseudocoris	0	0	0	0	1	0	1	0
Pholidichthys leucotaenia	Pholidichthyidae	Pholidichthys	0	0	0	0	1	0	1	0
Pomacentrus simsiang	Pomacentridae	Pomacentrus	0	0	1	1	0	0	1	0
Bolbometopon muricatum	Scaridae	Bolbometopon	0	1	0	1	0	0	1	0
Siganus javus	Siganidae	Siganus	0	1	0	1	0	0	1	0
Cirrhilabrus tonozukai	Labridae	Cirrhilabrus	0	1	1	0	0	0	1	0
Amblyeleotris yanoi	Gobiidae	Amblyeleotris	0	0	1	0	0	0	1	0
Pseudobalistes flavimarginatus	Balistidae	Pseudobalistes	0	0	1	0	0	0	1	0
Caranx melampygus	Carangidae	Caranx	1	1	0	0	0	0	1	0
Plectorhinchus chaetodonoides	Haemulidae	Plectorhinchus	1	1	0	0	0	0	1	0
Myripristis adusta	Holocentridae	Myripristis	0	1	0	0	0	0	1	0
Myripristis botche	Holocentridae	Myripristis	0	1	0	0	0	0	1	0
Sargocentron spiniferum	Holocentridae	Sargocentron	0	1	0	0	0	0	1	0
Epinephelus fuscoguttatus	Serranidae	Epinephelus	0	1	0	0	0	0	1	0
Cirrhitichthys oxycephalus	Cirrhitidae	Cirrhitichthys	0	1	0	0	0	0	1	0
Ostorhinchus aureus	Apogonidae	Ostorhinchus	0	1	0	0	0	0	1	0
Ostorhinchus cyanosoma	Apogonidae	Ostorhinchus	0	1	0	0	0	0	1	0
Ostorhinchus parvulus	Apogonidae	Ostorhinchus	0	1	0	0	0	0	1	0
Taeniamia fucata	Apogonidae	Taeniamia	0	1	0	0	0	0	1	0
Rhabdamia gracilis	Apogonidae	Rhabdamia	0	1	0	0	0	0	1	0
Plectorhinchus chrysotaenia	Haemulidae	Plectorhinchus	0	1	0	0	0	0	1	0
Parapriacanthus ransonneti	Pempheridae	Parapriacanthus	0	1	0	0	0	0	1	0
Heniochus diphreutes	Chaetodontidae	Heniochus	0	1	0	0	0	0	1	0
Cheilinus undulatus	Labridae	Cheilinus	0	1	0	0	0	0	1	0
Paracanthurus hepatus	Acanthuridae	Paracanthurus	0	1	0	0	0	0	1	0
Diodon hystrix	Diodontidae	Diodon	0	1	0	0	0	0	1	0
Lubbockichthys multisquamatus	Pseudochromidae	Lubbockichthys	1	0	0	0	0	0	1	0
Malacanthus latovittatus	Malacanthidae	Malacanthus	1	0	0	0	0	0	1	0
Acanthurus maculiceps	Acanthuridae	Acanthurus	1	0	0	0	0	0	1	0
Eucrossorhinus dasypogon	Orectolobidae	Eucrossorhinus	0	0	0	0	0	0	1	0
Nebrius ferrugineus	Ginglymostomatidae	Nebrius	0	0	0	0	0	0	1	0
Gymnothorax javanicus	Muraenidae	Gymnothorax	0	0	0	0	0	0	1	0
Aethaloperca rogaa	Serranidae	Aethaloperca	0	0	0	0	0	0	1	0
Epinephelus corallicola	Serranidae	Epinephelus	0	0	0	0	0	0	1	0
Epinephelus lanceolatus	Serranidae	Epinephelus	0	0	0	0	0	0	1	0
Paracirrhites arcatus	Cirrhitidae	Paracirrhites	0	0	0	0	0	0	1	0
Verulux cypselurus	Apogonidae	Verulux	0	0	0	0	0	0	1	0
Echeneis naucrates	Echeneidae	Echeneis	0	0	0	0	0	0	1	0
Caranx ignobilis	Carangidae	Caranx	0	0	0	0	0	0	1	0
Plectorhinchus lessonii	Haemulidae	Plectorhinchus	0	0	0	0	0	0	1	0
Lethrinus laticaudis	Lethrinidae	Lethrinus	0	0	0	0	0	0	1	0
Lethrinus obsoletus	Lethrinidae	Lethrinus	0	0	0	0	0	0	1	0
Pentapodus emeryii	Nemipteridae	Pentapodus	0	0	0	0	0	0	1	0
Acanthurus bariene	Acanthuridae	Acanthurus	0	0	0	0	0	0	1	0
Naso brevirostris	Acanthuridae	Naso	0	0	0	0	0	0	1	0
Oxycheilinus celebicus	Labridae	Oxycheilinus	0	1	1	0	1	1	0	0
Ecsenius trilineatus	Blenniidae	Ecsenius	0	0	0	0	1	1	0	0
Fusigobius signipinnis	Gobiidae	Fusigobius	0	0	0	0	1	1	0	0
Chaetodon ocellicaudus	Chaetodontidae	Chaetodon	1	1	1	1	0	1	0	0
Amblyglyphidodon ternatensis	Pomacentridae	Amblyglyphidodon	0	1	1	1	0	1	0	0
Dischistodus perspicillatus	Pomacentridae	Dischistodus	0	1	1	1	0	1	0	0
Hemiglyphidodon plagiometopon	Pomacentridae	Hemiglyphidodon	0	1	1	1	0	1	0	0
Halichoeres leucurus	Labridae	Halichoeres	0	1	1	1	0	1	0	0
Chaetodon octofasciatus	Chaetodontidae	Chaetodon	0	0	1	1	0	1	0	0
Chrysiptera hemicyanea	Pomacentridae	Chrysiptera	0	0	1	1	0	1	0	0
Pomacentrus burroughi	Pomacentridae	Pomacentrus	0	0	1	1	0	1	0	0
Premnas biaculeatus	Pomacentridae	Premnas	0	0	1	1	0	1	0	0
Halichoeres chloropterus	Labridae	Halichoeres	0	0	1	1	0	1	0	0
Exyrias belissimus	Gobiidae	Exyrias	0	0	1	1	0	1	0	0
Macrodontogobius wilburi	Gobiidae	Macrodontogobius	0	0	1	1	0	1	0	0
Amblygobius decussatus	Gobiidae	Amblygobius	0	1	0	1	0	1	0	0
Chaetodon ulietensis	Chaetodontidae	Chaetodon	1	0	0	1	0	1	0	0
Chrysiptera oxycephala	Pomacentridae	Chrysiptera	0	0	0	1	0	1	0	0
Amblygobius nocturnus	Gobiidae	Amblygobius	0	0	0	1	0	1	0	0
Siganus virgatus	Siganidae	Siganus	1	1	1	0	0	1	0	0
Myripristis violacea	Holocentridae	Myripristis	0	1	1	0	0	1	0	0
Taeniamia zosterophora	Apogonidae	Taeniamia	0	1	1	0	0	1	0	0
Cheilodipterus nigrotaeniatus	Apogonidae	Cheilodipterus	0	1	1	0	0	1	0	0
Cheilodipterus quinquelineatus	Apogonidae	Cheilodipterus	0	1	1	0	0	1	0	0
Sphaeramia nematoptera	Apogonidae	Sphaeramia	0	1	1	0	0	1	0	0
Dascyllus aruanus	Pomacentridae	Dascyllus	0	1	1	0	0	1	0	0
Choerodon anchorago	Labridae	Choerodon	0	1	1	0	0	1	0	0
Dascyllus melanurus	Pomacentridae	Dascyllus	0	0	1	0	0	1	0	0
Meiacanthus crinitus	Blenniidae	Meiacanthus	0	0	1	0	0	1	0	0
